album	artist	genre	score	author	date	link	genre_num
Out of Touch In The Wild	Dutch Uncles	Rock	7.3	Laura Snapes	January 16 2013	https://pitchfork.com/reviews/albums/17431-out-of-touch-in-the-wild/	7
Blouse	Blouse	Rock	7.4	Lindsay Zoladz	November 3 2011	https://pitchfork.com/reviews/albums/15993-blouse-st/	7
Received Pronunciation	Pants Yell!	Rock	7.3	Marc Hogan	November 4 2009	https://pitchfork.com/reviews/albums/13605-received-pronunciation/	7
Jinx	Weekend	Experimental,Rock	6.9	Zach Kelly	July 25 2013	https://pitchfork.com/reviews/albums/18296-weekend-jinx/	0
AS TRUTH	Amnesia Scanner	Experimental	8.0	Jonathan Patrick	February 20 2017	https://pitchfork.com/reviews/albums/22910-as-truth/	0
Nadastrom	Nadastrom	Electronic	7.4	Marcus J. Moore	February 23 2015	https://pitchfork.com/reviews/albums/20128-nadastrom/	2
Ibeyi	Ibeyi	Global	7.4	Minna Zhou	February 23 2015	https://pitchfork.com/reviews/albums/20270-ibeyi/	1
Her Too EP	SiR	Pop/R&B	7.6	H. Drew Blackburn	February 22 2017	https://pitchfork.com/reviews/albums/22904-her-too-ep/	3
The Sound of UK Funky	Ministry of Sound	nan	8.0	Tim Finney	July 7 2009	https://pitchfork.com/reviews/albums/13243-the-sound-of-uk-funky/	9
Leave Me Alone	Hinds	Rock	7.5	Quinn Moreland	January 5 2016	https://pitchfork.com/reviews/albums/21343-leave-me-alone/	7
Why Pay More?	The Soft Pink Truth	Electronic	7.0	Zoe Camp	January 5 2016	https://pitchfork.com/reviews/albums/21348-why-pay-more/	2
Dream a Garden	Jam City	Electronic	6.5	Philip Sherburne	March 25 2015	https://pitchfork.com/reviews/albums/20295-dream-a-garden/	2
Prior to the Fire	Priestess	Metal,Rock	5.9	Tom Breihan	April 14 2010	https://pitchfork.com/reviews/albums/14129-prior-to-the-fire/	8
Out of It and Into It	Tall Firs	Folk/Country	6.4	Aaron Leitko	January 10 2013	https://pitchfork.com/reviews/albums/17418-out-of-it-and-into-it/	6
Happy Jawbone Family Band	Happy Jawbone Family Band	nan	7.4	Evan Minsker	October 23 2013	https://pitchfork.com/reviews/albums/18668-happy-jawbone-family-band-happy-jawbone-family-band/	9
The Inevitable Past Is the Future Forgotten	Three Mile Pilot	Metal,Rock	7.2	Ian Cohen	October 22 2010	https://pitchfork.com/reviews/albums/14778-the-inevitable-past-is-the-future-forgotten/	8
Real Feelness	The Pattern	Rock	6.7	Chris Dahlen	November 24 2002	https://pitchfork.com/reviews/albums/6191-real-feelness/	7
Body EP	Autre Ne Veut	Electronic	7.5	Joshua Love	August 4 2011	https://pitchfork.com/reviews/albums/15701-body-ep/	2
Howl of the Lonely Crowd	Comet Gain	Experimental,Rock	7.3	Lindsay Zoladz	August 3 2011	https://pitchfork.com/reviews/albums/15558-howl-of-the-lonely-crowd/	0
Instinct	Niki and the Dove	Pop/R&B	7.9	Laura Snapes	August 10 2012	https://pitchfork.com/reviews/albums/16758-instinct/	3
The Sound of Girls Aloud	Girls Aloud	Electronic,Pop/R&B	8.5	Tim Finney	December 14 2006	https://pitchfork.com/reviews/albums/11892-the-sound-of-girls-aloud-overloaded/	2
The Strange Boys and Girls Club	The Strange Boys	Electronic,Rock	7.1	Stuart Berman	July 31 2009	https://pitchfork.com/reviews/albums/13280-the-strange-boys-and-girls-club/	2
Dulce Compañia	DJ Python 	Electronic	7.6	Andy Beta	September 25 2017	https://pitchfork.com/reviews/albums/dj-python-dulce-compania/	2
Veronica Falls	Veronica Falls	Experimental,Rock	7.7	Lindsay Zoladz	September 19 2011	https://pitchfork.com/reviews/albums/15818-veronica-falls-veronica-falls/	0
Everything Last Winter	Fields	nan	5.9	Marc Hogan	May 18 2007	https://pitchfork.com/reviews/albums/10223-everything-last-winter/	9
Ingleside Terrace	French Toast	Metal	7.0	Grayson Currin	May 17 2007	https://pitchfork.com/reviews/albums/10217-ingleside-terrace/	8
Exodus	Alex Moulton	Electronic	6.9	Mike Orme	February 19 2009	https://pitchfork.com/reviews/albums/12684-exodus/	2
Waiting for Surfin’ Bird	Mincemeat or Tenspeed	nan	7.6	Marc Masters	May 2 2014	https://pitchfork.com/reviews/albums/19307-mincemeat-or-tenspeed-waiting-for-surfin-bird/	9
Attica!	Wussy	Rock	7.8	Joel Oliphint	May 5 2014	https://pitchfork.com/reviews/albums/19259-wussy-attica/	7
Dance Mother	Telepathe	Electronic,Rock	6.7	Joe Colly	April 16 2009	https://pitchfork.com/reviews/albums/12928-dance-mother/	2
When Sweet Sleep Returned	The Assemble Head in Sunburst Sound	nan	7.1	Nate Patrin	April 15 2009	https://pitchfork.com/reviews/albums/12903-when-sweet-sleep-returned/	9
Mantic	Lady Lazarus	Pop/R&B,Rock	7.8	Brian Howe	January 20 2011	https://pitchfork.com/reviews/albums/14952-mantic/	3
X'ed Out	Tera Melos	Rock	7.1	Ian Cohen	May 13 2013	https://pitchfork.com/reviews/albums/18107-tera-melos-xed-out/	7
Catching a Tiger	Lissie	Pop/R&B	5.4	Liz Colville	August 18 2010	https://pitchfork.com/reviews/albums/14547-catching-a-tiger/	3
New World Observer	Deadbeat	Electronic	7.7	Cameron Macdonald	May 23 2005	https://pitchfork.com/reviews/albums/2222-new-world-observer/	2
Twilight of the Thunder God	Amon Amarth	Folk/Country,Metal	7.7	Cosmo Lee	November 11 2008	https://pitchfork.com/reviews/albums/12393-twilight-of-the-thunder-god/	6
Year of the Beast	C-Rayz Walz	Rap	4.2	Tom Breihan	May 17 2005	https://pitchfork.com/reviews/albums/8787-year-of-the-beast/	4
Hide	Foetus	Electronic	7.0	Jess Harvell	January 26 2011	https://pitchfork.com/reviews/albums/15024-hide/	2
Life Coach	Phil Manley	nan	6.5	Nick Neyland	January 25 2011	https://pitchfork.com/reviews/albums/14990-life-coach/	9
Chronology	Qasim Naqvi	Experimental	7.5	Seth Colter Walls	December 16 2016	https://pitchfork.com/reviews/albums/22693-chronology/	0
Emily’s D+Evolution	Esperanza Spalding	Jazz	8.6	Marcus J. Moore	March 4 2016	https://pitchfork.com/reviews/albums/21575-emilys-devolution/	5
Petrol	Anenon	Electronic	7.6	Philip Sherburne	March 3 2016	https://pitchfork.com/reviews/albums/21512-petrol/	2
January Sun	Kedr Livanskiy	Electronic	7.8	Saby Reyes-Kulkarni	March 2 2016	https://pitchfork.com/reviews/albums/21661-january-sun/	2
Darkness Come Alive	Doomriders	Metal	7.5	Cosmo Lee	December 10 2009	https://pitchfork.com/reviews/albums/13575-darkness-come-alive/	8
Come Into Our House	Nick Castro and the Young Elders	Folk/Country	7.0	Matthew Murphy	July 7 2006	https://pitchfork.com/reviews/albums/9149-come-into-our-house/	6
Thank You for Stickin' With Twig	Slim Twig	Rock	5.4	Laura Snapes	August 5 2015	https://pitchfork.com/reviews/albums/20740-thank-you-for-stickin-with-twig/	7
Lost Time	12 Rods	nan	8.1	Eric Carr	February 10 2003	https://pitchfork.com/reviews/albums/8202-lost-time/	9
Jessica Bailiff	Jessica Bailiff	Rock	7.3	Chris Dahlen	February 10 2003	https://pitchfork.com/reviews/albums/533-jessica-bailiff/	7
Morning Macumba	Bikeride	Pop/R&B	7.9	Brian James	February 10 2003	https://pitchfork.com/reviews/albums/693-morning-macumba/	3
Teeny Shiny	Melt-Banana	Experimental,Rock	7.1	Brendan Reid	December 12 2000	https://pitchfork.com/reviews/albums/5217-teeny-shiny/	0
Pèze-Piton	RAMZi	Electronic	7.7	Andy Beta	January 29 2018	https://pitchfork.com/reviews/albums/ramzi-peze-piton/	2
Young & Reckless	OMB Peezy , Sherwood Marty	Rap	6.8	Jay Balfour	January 31 2018	https://pitchfork.com/reviews/albums/omb-peezy-sherwood-marty-young-and-reckless/	4
Big Bossin Vol. 2	Payroll Giovanni, Cardo	Rap	7.8	Torii MacAdams	January 30 2018	https://pitchfork.com/reviews/albums/payroll-giovanni-cardo-big-bossin-vol-2/	4
Sound on Sound	Saturday Looks Good to Me	Rock	7.7	Rob Mitchum	April 24 2006	https://pitchfork.com/reviews/albums/7004-sound-on-sound/	7
Cosmology of Eye	GHQ	Experimental,Rock	7.9	Matthew Murphy	April 25 2006	https://pitchfork.com/reviews/albums/3679-cosmology-of-eye/	0
Heartcore	Wildbirds & Peacedrums	Folk/Country	8.0	Andrew Gaerig	June 2 2008	https://pitchfork.com/reviews/albums/11472-heartcore/	6
Hanging Out the Birds EP	Blawan	Electronic	7.3	Philip Sherburne	June 26 2015	https://pitchfork.com/reviews/albums/20741-hanging-out-the-birds-ep/	2
Wars	XBXRX	Experimental,Rock	6.8	Marc Masters	April 10 2007	https://pitchfork.com/reviews/albums/10074-wars/	0
Crystal Healing	GHQ	Experimental,Rock	7.6	Matthew Murphy	July 9 2007	https://pitchfork.com/reviews/albums/10388-crystal-healing/	0
Early Surf	Axis: Sova	Rock	6.6	Evan Minsker	February 17 2015	https://pitchfork.com/reviews/albums/20169-early-surf/	7
Tralala	Tralala	Rock	6.1	Marc Hogan	July 28 2005	https://pitchfork.com/reviews/albums/8292-tralala/	7
Neurotica	Redd Kross	Metal,Rock	9.0	Kyle Reiter	January 9 2002	https://pitchfork.com/reviews/albums/6730-neurotica/	8
Map of What Is Effortless	Telefon Tel Aviv	Electronic	6.3	Mark Pytlik	March 8 2004	https://pitchfork.com/reviews/albums/7963-map-of-what-is-effortless/	2
Scissor Sisters	Scissor Sisters	Electronic,Pop/R&B	8.3	Scott Plagenhoef	March 10 2004	https://pitchfork.com/reviews/albums/7740-scissor-sisters/	2
At Saint Thomas the Apostle Harlem	Diamanda Galás	Experimental	7.5	Colin Joyce	March 27 2017	https://pitchfork.com/reviews/albums/22975-all-the-wayat-saint-thomas-the-apostle-harlem/	0
KMH	Lubomyr Melnyk	Experimental	7.8	Mike Powell	August 23 2007	https://pitchfork.com/reviews/albums/10545-kmh/	0
III	Föllakzoid	Rock	6.5	Nick Neyland	March 30 2015	https://pitchfork.com/reviews/albums/20364-iii/	7
Oh, My Darling	Basia Bulat	Rock	6.5	Eric Harvey	August 23 2007	https://pitchfork.com/reviews/albums/10538-oh-my-darling/	7
Thrashin'	Total Slacker	Rock	6.7	Evan Minsker	September 27 2011	https://pitchfork.com/reviews/albums/15853-total-slacker-thrashin/	7
Heart Shaped Bed	Nicole Dollanganger	Rock	6.0	Quinn Moreland	November 8 2018	https://pitchfork.com/reviews/albums/nicole-dollanganger-heart-shaped-bed/	7
Lost EP	Brent Faiyaz  	Pop/R&B	6.6	Margaret Farrell	November 6 2018	https://pitchfork.com/reviews/albums/brent-faiyaz-lost-ep/	3
Voices From the Lake	Voices From the Lake	Electronic	8.2	Andrew Ryce	March 23 2012	https://pitchfork.com/reviews/albums/16357-voices-from-the-lake/	2
Liz Janes & Create(!)	Liz Janes	Folk/Country	7.2	Rachel Khong	October 18 2005	https://pitchfork.com/reviews/albums/4349-liz-janes-create/	6
Blowout	So So Glos	Rock	7.6	Zach Kelly	May 3 2013	https://pitchfork.com/reviews/albums/17953-blowout/	7
Retrash	Oozing Wound	nan	7.4	Andy O'Connor	October 30 2013	https://pitchfork.com/reviews/albums/18644-oozing-wound-retrash/	9
Coconut Oil	Lizzo	Rap	6.1	Vanessa Okoth-Obbo	October 15 2016	https://pitchfork.com/reviews/albums/22511-coconut-oil/	4
Whiteout EP	Dawn Richard	Electronic,Pop/R&B	6.7	Tim Finney	January 3 2013	https://pitchfork.com/reviews/albums/17494-white-out-ep/	2
Righteous Fists of Harmony	Daedelus	Electronic,Jazz	5.3	Larry Fitzmaurice	April 20 2010	https://pitchfork.com/reviews/albums/14127-righteous-fists-of-harmony/	2
Praxis Makes Perfect	Neon Neon	Electronic,Rock	7.0	Marc Hogan	May 6 2013	https://pitchfork.com/reviews/albums/17932-neon-neon-praxis-makes-perfect/	2
V	KTL	Metal	8.1	Grayson Currin	May 15 2012	https://pitchfork.com/reviews/albums/16622-v/	8
Autumn, Again	A Sunny Day in Glasgow	Rock	7.9	Andrew Gaerig	October 18 2010	https://pitchfork.com/reviews/albums/14752-autumn-again/	7
North	Darkstar	Electronic	6.6	Mike Powell	October 18 2010	https://pitchfork.com/reviews/albums/14693-north/	2
Joint Ventures	Baobinga and Co.	nan	7.3	Larry Fitzmaurice	July 28 2011	https://pitchfork.com/reviews/albums/15677-joint-ventures/	9
Hundred Million Light Years	Kaito	Electronic	5.4	Jess Harvell	June 1 2006	https://pitchfork.com/reviews/albums/9071-hundred-million-light-years/	2
Capricorn Rising EP	Mike Simonetti	Pop/R&B	7.1	Marc Hogan	July 28 2011	https://pitchfork.com/reviews/albums/15678-capricorn-rising-ep/	3
Running Blind EP	Philip Selway	Rock	5.8	Joe Tangari	July 28 2011	https://pitchfork.com/reviews/albums/15673-running-blind-ep/	7
Full Bloom	Soft Circle	Experimental,Rock	8.2	Jess Harvell	February 14 2007	https://pitchfork.com/reviews/albums/9895-full-bloom/	0
CRU	Seu Jorge	Pop/R&B	7.4	Sean Fennessey	September 8 2005	https://pitchfork.com/reviews/albums/4361-cru/	3
Captain of None	Colleen	Electronic	7.6	Matthew Murphy	April 7 2015	https://pitchfork.com/reviews/albums/20400-captain-of-none/	2
Gueen's Head	Christy & Emily	Folk/Country,Rock	6.2	Stephen M. Deusner	September 24 2007	https://pitchfork.com/reviews/albums/10663-gueens-head/	6
Hymns for the Hopeless	William Elliott Whitmore	Folk/Country	7.5	Amanda Petrusich	October 15 2003	https://pitchfork.com/reviews/albums/8762-hymns-for-the-hopeless/	6
Merge	Ken Ikeda	Electronic	6.6	Mark Richardson	October 15 2003	https://pitchfork.com/reviews/albums/4148-merge/	2
Songs and Jams Vol. 1	Notekillers	Rock	8.2	Seth Colter Walls	July 25 2016	https://pitchfork.com/reviews/albums/22154-songs-and-jams-vol-1/	7
Risveglio	Alessandro Cortini	Experimental	7.2	Aaron Leitko	July 29 2015	https://pitchfork.com/reviews/albums/20802-risveglio/	0
Z	SZA	Pop/R&B	5.9	Jordan Sargent	April 18 2014	https://pitchfork.com/reviews/albums/19278-sza-z/	3
Any Other City	Life Without Buildings	Rock	8.7	Lindsay Zoladz	April 18 2014	https://pitchfork.com/reviews/albums/19181-life-without-buildings-any-other-city/	7
Safe	Visionist	Electronic	7.9	Louis Pattison	October 9 2015	https://pitchfork.com/reviews/albums/21051-safe/	2
Ain't Ain't Ain't	Tim Fite	Rap	4.8	Paul Thompson	March 6 2012	https://pitchfork.com/reviews/albums/16358-aint-aint-aint/	4
Too Beautiful to Work	The Luyas	nan	6.5	Larry Fitzmaurice	February 25 2011	https://pitchfork.com/reviews/albums/15154-too-beautiful-to-work/	9
Solaris: Live in Concert	Jah Wobble	Global,Rock	8.3	Paul Cooper	July 24 2002	https://pitchfork.com/reviews/albums/8722-solaris-live-in-concert/	1
Lithium Zion	Deaf Wish	Rock	7.7	Stuart Berman	August 9 2018	https://pitchfork.com/reviews/albums/deaf-wish-lithium-zion/	7
As If We Never Won	Kleerup	Pop/R&B	5.7	Marc Hogan	October 14 2014	https://pitchfork.com/reviews/albums/19925-kleerup-as-if-we-never-won/	3
Otherness	Kindness	Electronic,Rock	5.1	Andrew Gaerig	October 16 2014	https://pitchfork.com/reviews/albums/19937-kindness-otherness/	2
Trouble	Kevin Drumm	Electronic,Experimental,Rock	7.8	Philip Sherburne	October 15 2014	https://pitchfork.com/reviews/albums/19880-kevin-drumm-trouble/	2
Outside	Tapes 'n Tapes	Experimental,Rock	5.5	Grayson Currin	January 10 2011	https://pitchfork.com/reviews/albums/14978-outside/	0
DJ-Kicks	Will Saul	nan	6.1	Larry Fitzmaurice	July 9 2014	https://pitchfork.com/reviews/albums/19463-will-saul-dj-kicks/	9
Li(f)e	Sage Francis	Rap	6.3	Tom Breihan	May 11 2010	https://pitchfork.com/reviews/albums/14225-life/	4
Anticipation 3	Trey Songz	Pop/R&B	7.3	Da'Shan Smith	January 23 2017	https://pitchfork.com/reviews/albums/22814-anticipation-3/	3
The Hum	Hookworms	Rock	7.8	Stuart Berman	November 13 2014	https://pitchfork.com/reviews/albums/19866-hookworms-the-hum/	7
Cosmic Crypt	Mammoth Grinder	Metal	7.6	Andy O'Connor	February 3 2018	https://pitchfork.com/reviews/albums/mammoth-grinder-cosmic-crypt/	8
Three Stripes	Bell Biv Devoe	Pop/R&B	5.5	Elias Leight	January 23 2017	https://pitchfork.com/reviews/albums/22820-three-stripes/	3
Into the Air	Cold Beat	Rock	7.7	Stuart Berman	September 9 2015	https://pitchfork.com/reviews/albums/20974-into-the-air/	7
Microshift	Hookworms	Rock	7.9	Stuart Berman	February 5 2018	https://pitchfork.com/reviews/albums/hookworms-microshift/	7
Estudando o Pagode: Na Opereta Segregamulher e Amor	Tom Zé	Experimental,Global	7.9	Joe Tangari	April 18 2006	https://pitchfork.com/reviews/albums/8951-estudando-o-pagode-na-opereta-segregamulher-e-amor/	0
Pillowfight	Pillowfight	nan	3.9	Miles Raymer	January 28 2013	https://pitchfork.com/reviews/albums/17546-pillowfight/	9
Tastes the Broom	Happy Jawbone Family Band	nan	7.6	Liz Pelly	January 30 2013	https://pitchfork.com/reviews/albums/17655-tastes-the-broom/	9
Welcome to JFK	Chinx	Rap	7.3	Craig Jenkins	September 8 2015	https://pitchfork.com/reviews/albums/20924-welcome-to-jfk/	4
Journey Through a Burning Brain (Anthology)	Tangerine Dream	Electronic	4.9	Dominique Leone	February 13 2003	https://pitchfork.com/reviews/albums/7930-journey-through-a-burning-brain-anthology/	2
Spring EP	King Felix	Electronic	8.0	Jenn Pelly	April 16 2012	https://pitchfork.com/reviews/albums/16506-king-felix-ep/	2
Armor On EP	Dawn Richard	Electronic,Pop/R&B	8.2	Tim Finney	April 13 2012	https://pitchfork.com/reviews/albums/16486-armor-on-ep/	2
Live Recordings, TV-Clips & Roadmovie	LiLiPUT, Kleenex	Rock	3.3	Douglas Wolk	March 26 2010	https://pitchfork.com/reviews/albums/14056-live-recordings-tv-clips-roadmovie/	7
Soft Fall	Sun Airway	Pop/R&B	7.3	Paul Thompson	October 3 2012	https://pitchfork.com/reviews/albums/17113-soft-fall/	3
Mourn	Mourn	Rock	7.5	Stuart Berman	February 12 2015	https://pitchfork.com/reviews/albums/20122-mourn/	7
Snowing Sun	Bellini	Rock	8.2	Brad Haywood	October 13 2002	https://pitchfork.com/reviews/albums/641-snowing-sun/	7
Nostalchic	Lapalux	Electronic	7.4	Jonah Bromwich	March 28 2013	https://pitchfork.com/reviews/albums/17795-lapalux-nostalchic/	2
Osirus: The Official Mixtape	Ol’ Dirty Bastard	Rap	6.4	Nick Sylvester	January 12 2005	https://pitchfork.com/reviews/albums/6104-osirus-the-official-mixtape/	4
Avi Buffalo	Avi Buffalo	Experimental,Rock	7.9	Paul Thompson	April 27 2010	https://pitchfork.com/reviews/albums/14175-avi-buffalo/	0
Box Set	William Onyeabor	Global	9.0	Andy Beta	December 12 2014	https://pitchfork.com/reviews/albums/20056-box-set/	1
Deathless Master	Acephalix	Metal	7.5	Andy O'Connor	May 10 2012	https://pitchfork.com/reviews/albums/16551-deathless-master/	8
The Drawing Board	Art Department	Electronic,Pop/R&B	7.3	Tim Finney	April 27 2011	https://pitchfork.com/reviews/albums/15361-the-drawing-board/	2
Oh Holy Molar	Felix	Electronic	7.3	Matthew Perpetua	May 9 2012	https://pitchfork.com/reviews/albums/16593-oh-holy-molar/	2
Gold	The Fucking Am	nan	7.0	Johnny Loftus	September 28 2004	https://pitchfork.com/reviews/albums/3323-gold/	9
I Com	Miss Kittin	Electronic,Pop/R&B	7.0	Derek Miller	September 27 2004	https://pitchfork.com/reviews/albums/5608-i-com/	2
Draumalandid	Valgeir Sigurðsson	Experimental	7.3	Brian Howe	March 4 2010	https://pitchfork.com/reviews/albums/13976-draumalandid/	0
Codename: Rondo	Ghostland Observatory	Electronic,Rock	1.5	Ian Cohen	November 4 2010	https://pitchfork.com/reviews/albums/14786-codename-rondo/	2
A Piece of Beyond	DJ Bone	Electronic	7.1	Chal Ravens	April 27 2018	https://pitchfork.com/reviews/albums/dj-bone-a-piece-of-beyond/	2
Specifics	Midwest Product	Electronic,Rock	7.4	Rob Mitchum	July 31 2002	https://pitchfork.com/reviews/albums/5276-specifics/	2
Fabric 77	Marcel Dettmann	Electronic	7.1	Philip Sherburne	August 26 2014	https://pitchfork.com/reviews/albums/19613-marcel-dettmann-fabric-77/	2
Plum	Various Artists	nan	7.2	Mark Richardson	December 12 2007	https://pitchfork.com/reviews/albums/10982-plum/	9
Let Me Hang You	William S. Burroughs	Experimental	5.8	Seth Colter Walls	July 29 2016	https://pitchfork.com/reviews/albums/22113-let-me-hang-you/	0
Drool Sucker	No Joy	Rock	6.8	Zoe Camp	July 30 2016	https://pitchfork.com/reviews/albums/22194-drool-sucker/	7
Welcome Interstate Managers	Fountains of Wayne	Rock	7.5	Mark Martelli	June 17 2003	https://pitchfork.com/reviews/albums/3160-welcome-interstate-managers/	7
Prospect Park	James William Hindle	Folk/Country,Rock	6.1	Michael Idov	June 18 2003	https://pitchfork.com/reviews/albums/3872-prospect-park/	6
Cell-Scape	Melt-Banana	Experimental,Rock	7.5	Dominique Leone	June 17 2003	https://pitchfork.com/reviews/albums/5218-cell-scape/	0
Night Has a Thousand Screams	Umberto	Electronic	6.1	Nick Neyland	December 4 2012	https://pitchfork.com/reviews/albums/17385-night-has-a-thousand-screams/	2
New Sacred Cow	Kenna	Electronic,Rock	5.5	Eric Carr	October 21 2003	https://pitchfork.com/reviews/albums/4562-new-sacred-cow/	2
Hippopotamus	Sparks	Electronic,Experimental,Rock	7.1	Chris Randle	September 13 2017	https://pitchfork.com/reviews/albums/sparks-hippopotamus/	2
Laced	Psychedelic Horseshit	Electronic,Experimental,Rock	7.3	Marc Masters	May 17 2011	https://pitchfork.com/reviews/albums/15425-laced/	2
We're Here to Help	Notekillers	Rock	7.4	Marc Masters	February 9 2011	https://pitchfork.com/reviews/albums/15087-were-here-to-help/	7
Mask	Icky Blossoms	Pop/R&B	6.8	Evan Rytlewski	May 12 2015	https://pitchfork.com/reviews/albums/20524-mask/	3
Michael Angelo	Michael Angelo	Rock	6.7	Jayson Greene	May 8 2015	https://pitchfork.com/reviews/albums/20461-michael-angelo/	7
Collected Works Vol. 1 The Moog Years	M. Geddes Gengras	Experimental	6.8	Nick Neyland	August 27 2013	https://pitchfork.com/reviews/albums/18400-m-geddes-gengras-collected-works-vol-1-the-moog-years/	0
Youth	Matisyahu	Global	4.9	Sean Fennessey	March 2 2006	https://pitchfork.com/reviews/albums/5661-youth/	1
Ballin Like I’m Kobe	G Herbo	Rap	7.2	David Drake	October 21 2015	https://pitchfork.com/reviews/albums/21153-ballin-like-im-kobe/	4
Howl	Rival Consoles	Electronic	7.7	Jonah Bromwich	October 22 2015	https://pitchfork.com/reviews/albums/21222-howl/	2
Drifters / Love Is the Devil	Dirty Beaches	Experimental,Rock	8.4	Larry Fitzmaurice	May 23 2013	https://pitchfork.com/reviews/albums/18076-dirty-beaches-drifters-love-is-the-devil/	0
Between Two Selves	Octo Octa	Electronic	7.4	Angus Finlayson	May 22 2013	https://pitchfork.com/reviews/albums/18132-octo-octa-between-two-selves/	2
Familial	Philip Selway	Rock	4.9	Mark Pytlik	August 27 2010	https://pitchfork.com/reviews/albums/14602-familial/	7
moon	Snowbird	nan	6.9	Ned Raggett	February 3 2014	https://pitchfork.com/reviews/albums/18948-snowbird-snow/	9
The Whole Thing Is Just There	Young Jesus	Rock	8.1	Ian Cohen	October 20 2018	https://pitchfork.com/reviews/albums/young-jesus-the-whole-thing-is-just-there/	7
Future Perfect	Autolux	Rock	8.3	Peter Macia	November 29 2004	https://pitchfork.com/reviews/albums/459-future-perfect/	7
The Fair Store	The Strugglers	Rock	7.5	Brian Howe	November 29 2004	https://pitchfork.com/reviews/albums/7790-the-fair-store/	7
Gabriel Kahane	Gabriel Kahane	Folk/Country	5.1	Joshua Love	October 28 2008	https://pitchfork.com/reviews/albums/12350-gabriel-kahane/	6
The Wild Hunt	Watain	Metal	6.7	Grayson Currin	August 20 2013	https://pitchfork.com/reviews/albums/18305-watain-the-wild-hunt/	8
Majid Jordan	Majid Jordan	Pop/R&B	6.8	Matthew Strauss	February 2 2016	https://pitchfork.com/reviews/albums/21506-majid-jordan/	3
Checkmate Savage	The Phantom Band	Rock	7.3	Ian Cohen	May 11 2009	https://pitchfork.com/reviews/albums/12838-checkmate-savage/	7
Keep You	Pianos Become the Teeth	Rock	7.3	Ian Cohen	November 3 2014	https://pitchfork.com/reviews/albums/19931-pianos-become-the-teeth-keep-you/	7
Forget Tomorrow	Macha	Rock	7.4	Joe Tangari	May 10 2004	https://pitchfork.com/reviews/albums/5019-forget-tomorrow/	7
The Cover Up	I Am the World Trade Center	Rock	7.2	Johnny Loftus	August 9 2004	https://pitchfork.com/reviews/albums/4041-the-cover-up/	7
I Don’t Run	Hinds	Rock	7.4	Stuart Berman	April 6 2018	https://pitchfork.com/reviews/albums/hinds-i-dont-run/	7
Blue Collar	Rhymefest	Rap	8.0	Peter Macia	July 20 2006	https://pitchfork.com/reviews/albums/9225-blue-collar/	4
If He Is Protecting Our Nation, Then Who Will Protect Big Oil, Our Children?	Of Montreal	Rock	5.3	Matt LeMay	May 1 2003	https://pitchfork.com/reviews/albums/5949-if-he-is-protecting-our-nation-then-who-will-protect-big-oil-our-children/	7
Poison	Bell Biv Devoe	Pop/R&B	7.4	Brendan Frederick	July 29 2018	https://pitchfork.com/reviews/albums/bell-biv-devoe-poison/	3
Wash the Sins Not Only the Face	Esben and the Witch	Electronic,Rock	5.8	Harley Brown	January 22 2013	https://pitchfork.com/reviews/albums/17535-wash-the-sins-not-only-the-face/	2
Something Borrowed, Something Blue	Deadbeat	Electronic	7.8	Mark Richardson	March 16 2004	https://pitchfork.com/reviews/albums/2221-something-borrowed-something-blue/	2
Bringing the Backline	Trust Fund	Rock	6.9	Calum Marsh	August 1 2018	https://pitchfork.com/reviews/albums/trust-fund-bringing-the-backline/	7
Rojus	Leon Vynehall	Electronic	7.8	Philip Sherburne	April 4 2016	https://pitchfork.com/reviews/albums/21627-rojus/	2
Much Ado About EP	Magic Bullets	Pop/R&B	6.2	Zach Kelly	April 9 2012	https://pitchfork.com/reviews/albums/16475-magic-bullets-much-ado-about-ep/	3
Liquidate Paris!	Blood Meridian	Rock	5.8	Evan McGarvey	March 4 2008	https://pitchfork.com/reviews/albums/11192-liquidate-paris/	7
Matinée	Jack Peñate	nan	4.9	Tom Ewing	March 4 2008	https://pitchfork.com/reviews/albums/11190-matinee/	9
Helter Stupid	Negativland	Experimental	7.2	Cameron Macdonald	February 22 2005	https://pitchfork.com/reviews/albums/5739-helter-stupid/	0
The Lost Entrance of the Just	Circle of Ouroborus	nan	8.2	Grayson Currin	April 11 2012	https://pitchfork.com/reviews/albums/16490-the-lost-entrance-of-the-just/	9
Some Racing, Some Stopping	Headlights	Rock	6.8	Marc Hogan	March 6 2008	https://pitchfork.com/reviews/albums/11244-some-racing-some-stopping/	7
Humble Beast	G Herbo	Rap	7.8	David Drake	October 20 2017	https://pitchfork.com/reviews/albums/humble-beast/	4
II	Vermont	Electronic	6.8	Philip Sherburne	February 22 2017	https://pitchfork.com/reviews/albums/22894-ii/	2
Lixiviation	Suzanne Ciani	Experimental	7.4	Nick Neyland	February 15 2012	https://pitchfork.com/reviews/albums/16284-lixiviation/	0
Over Easy EP	Diet Cig	Rock	6.1	Jamieson Cox	February 24 2015	https://pitchfork.com/reviews/albums/20237-over-easy-ep/	7
Noble Creatures	The Gourds	Rock	7.1	Stephen M. Deusner	July 26 2007	https://pitchfork.com/reviews/albums/10435-noble-creatures/	7
Dance Mania: Ghetto Madness	Various Artists	nan	7.4	Meaghan Garvey	February 5 2015	https://pitchfork.com/reviews/albums/20205-dance-mania-ghetto-madness/	9
